acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.091064,-0.202637,0.853516,2.29771,-3.908397,-4.10687
0.077637,-0.199219,0.848877,2.885496,-6.442748,-4.549618
0.08667,-0.189209,0.84082,2.801527,-6.328244,-4.549618
0.08374,-0.187012,0.822021,1.19084,-6.259542,-3.671756
0.102295,-0.172363,0.813965,-1.832061,-3.80916,-3.129771
0.10791,-0.171387,0.800293,-4.877862,-0.671756,-2.396947
0.109375,-0.175293,0.802979,-7.931298,1.732824,-1.839695
0.108887,-0.168945,0.798828,-11.274809,2.908397,-1.435115
0.102051,-0.173828,0.79126,-15.129771,1.801527,-1.374046
0.091797,-0.170166,0.776611,-20.022902,0.183206,-0.633588
0.07959,-0.17334,0.774414,-27.908398,-2.938931,1.59542
0.078125,-0.15918,0.735352,-37.931297,-4.061069,2.954198
0.083252,-0.155273,0.720215,-49.305344,-4.198473,4.160306
0.084717,-0.145752,0.703613,-61.862595,-0.290076,6.938931
0.086914,-0.144043,0.685791,-77.015266,6.908397,7.59542
0.069824,-0.157471,0.645996,-96.267174,3.290076,11.053435
0.073975,-0.172363,0.661377,-118.106873,-0.175573,14.664123
0.099121,-0.204834,0.660156,-137.656494,-1.648855,15.908397
0.101562,-0.240479,0.669189,-151.862595,-3.282443,15.793893
0.103516,-0.312256,0.700195,-153.396942,-3.480916,15.122137
0.124512,-0.356934,0.766113,-146.229004,2.847328,11.259542
0.11377,-0.415283,0.849854,-132.167938,5.541985,6.755725
0.06665,-0.460693,0.915771,-117.664124,6.442748,5.198473
0.039307,-0.481689,0.941406,-104.183205,4.473282,5.526718
0.010254,-0.50415,0.974854,-93.290077,2.274809,6.458015
0.00708,-0.519287,0.970947,-84.488548,-1.709924,6.969466
0.012207,-0.515381,0.959473,-76.801529,-5.022901,6.839694
0.035156,-0.510986,0.911377,-68.893127,-6.938931,5.923664
0.045166,-0.517334,0.898682,-61.64122,-10.427481,4.053435
0.050537,-0.507324,0.875732,-58.0229,-13.854961,0.877863
0.047119,-0.500977,0.825195,-58.068703,-19.366413,-1.778626
0.047852,-0.467773,0.769043,-61.427483,-23.923664,-2.10687
0.048584,-0.458252,0.73291,-63.305344,-26.977098,-0.89313
0.063721,-0.433594,0.718018,-63.625954,-24.526718,0.763359
0.052002,-0.426514,0.697266,-67.480919,-24.099237,3.694656
0.077393,-0.427246,0.678467,-72.755722,-20.083969,6.282443
0.101074,-0.423828,0.672607,-77.213737,-12.923664,9.305344
0.094727,-0.43042,0.674316,-79.442749,-8.351145,14.916031
0.131592,-0.445557,0.686523,-76.404579,1.435115,18.931297
0.153564,-0.480225,0.721436,-68.03817,10.839695,20.290077
0.147461,-0.526123,0.784424,-60.145039,14.954199,19.022902
0.138428,-0.551025,0.80835,-56.076336,13.488549,14.679389
0.127686,-0.565918,0.817871,-52.862595,7.320611,7.78626
0.106445,-0.575195,0.815918,-48.267174,1.29771,-0.282443
0.122314,-0.553223,0.795166,-44.625954,-7.442748,-7.885496
0.108643,-0.565918,0.77002,-42.526718,-13.267176,-13.519084
0.114014,-0.560791,0.726807,-43.671757,-16.908398,-16.641222
0.116211,-0.536133,0.651367,-49.32061,-18.396946,-17.519083
0.128418,-0.517822,0.638184,-55.534351,-13.389313,-14.801527
0.108398,-0.532959,0.644287,-61.664124,-6.366412,-11.503817
0.114502,-0.530762,0.639404,-68.480919,3.946565,-6.725191
0.088867,-0.534424,0.646729,-70.984734,10.198473,-0.656489
0.068115,-0.564941,0.680908,-71.984734,15.068703,4.51145
0.062744,-0.582031,0.685059,-69.885498,17.045801,10.076336
0.062256,-0.611816,0.715332,-64.687019,16.954199,12.335877
0.067383,-0.642334,0.761963,-58.473282,13.687023,10.816793
0.067871,-0.661621,0.775391,-50.648853,8.633588,7.885496
0.076172,-0.669922,0.790039,-41.335876,4.10687,4.442748
0.095215,-0.678467,0.803223,-33.419846,-0.145038,-1.030534
0.104004,-0.675537,0.789062,-28.229008,-3.480916,-6.732824
0.108887,-0.660645,0.748779,-25.931297,-5.19084,-10.015267
0.122803,-0.639893,0.707275,-26.167938,-4.977099,-12.763359
0.128906,-0.626709,0.683838,-26.396946,-2.931298,-12.961832
0.144775,-0.561768,0.616943,-34.969467,-1.374046,-12.076336
0.119873,-0.595215,0.635254,-36.34351,2.725191,-9.21374
0.102783,-0.603027,0.626953,-37.969467,6.549618,-7.076336
0.087402,-0.594238,0.605225,-41.244274,9.564885,-3.312977
0.055664,-0.613037,0.610107,-39.167938,8.564885,1.21374
0.061279,-0.631348,0.623291,-30.656488,10.160305,3.450382
0.057129,-0.608887,0.589844,-33.946564,9.450381,8.038168
0.062988,-0.643555,0.631104,-38.526718,11.526717,10.007633
0.055664,-0.669922,0.659912,-37.793892,11.251908,10.961832
0.080322,-0.682129,0.671875,-37.832062,11.816793,8.702291
0.113037,-0.699463,0.678955,-35.992367,10.839695,3.206107
0.109131,-0.694336,0.690186,-31.267176,7.10687,-4.145038
0.115723,-0.679688,0.65332,-29.534351,4.145038,-9.549619
