acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.17407989,-0.40581803,0.8521895,-1.64755695,5.22732802,0.37091572
0.15642364,-0.40057596,0.86791458,-3.59702278,3.86442711,1.08687016
0.15476819,-0.40361114,0.88226106,-5.03755695,2.03572551,1.88045786
0.16883782,-0.41740505,0.88446795,-5.95190888,0.18114465,1.41465604
0.17132043,-0.41519816,0.90102019,-5.88290091,-0.8884738,0.9143508
0.17821795,-0.42568117,0.90846915,-6.2279385,-1.07824374,0.66419818
0.18263173,-0.42540545,0.90819343,-5.51198406,-1.31114465,0.87984738
0.18566691,-0.42568117,0.91646955,-5.38259567,-1.05236674,0.29328246
0.18897668,-0.43230184,0.9148141,-4.87366401,-0.2156492,-1.20763326
0.18180457,-0.44361314,0.93136747,-4.20083941,-0.19839749,-2.33763326
0.18621835,-0.44002652,0.92971202,-2.74305353,-2.11335877,-3.76954214
0.17932083,-0.44168197,0.91288293,-2.69992369,-3.20022893,-5.02893166
0.18649407,-0.43368157,0.90846915,-3.57114465,-4.14908428,-5.50335877
0.18235601,-0.43395729,0.90129591,-3.40725171,-4.15770957,-5.64137358
0.17270016,-0.43202612,0.90322708,-3.64015262,-3.44175626,-4.46824374
0.16442404,-0.42733662,0.8908129,-3.86442711,-2.18236674,-3.48488497
0.16607949,-0.43919936,0.89026146,-3.44175626,-0.15526765,-2.86381663
0.15697508,-0.43837107,0.89439952,-2.54465604,1.03511503,-1.8028246
0.1638726,-0.43202612,0.90267564,-2.02709909,2.06160251,-1.31977107
0.16801066,-0.43671675,0.89771042,-1.74244305,2.23412187,-1.24213781
0.15807909,-0.43009495,0.89053718,-1.38015262,1.5871754,-0.75045786
0.16580377,-0.4190605,0.887502,-1.42328246,2.37213781,-0.3364123
0.16414832,-0.42071482,0.87039832,-2.92419818,3.9679385,-0.3364123
0.16304431,-0.42016338,0.8861234,-2.67404556,4.39061048,-0.22427449
0.15945769,-0.41823221,0.89219263,-2.85519134,3.69190888,0.27603075
0.16028598,-0.43064752,0.88391651,-4.01969476,2.07885535,-0.01725171
0.15145729,-0.43947508,0.90322708,-3.20885535,1.01786219,-0.18977107
0.14952612,-0.44140625,0.90598654,-2.68267198,0.07763326,-0.23290091
0.15973341,-0.44223341,0.90405537,-1.28526765,-0.82809112,-0.76770957
0.16938926,-0.44913093,0.90460681,-0.63832005,-2.24274829,-1.07824374
0.16911354,-0.44471715,0.92529824,0.5779385,-3.44175626,-2.17374032
0.16745809,-0.4510621,0.92033189,1.54404556,-4.03694647,-3.20885535
0.16552692,-0.45271755,0.90846915,1.45778588,-2.88106834,-3.92480866
0.1685621,-0.44471715,0.90046875,2.39801481,-0.25015262,-4.08870273
0.17076899,-0.4397508,0.89357123,3.65740433,1.17312984,-4.84778588
0.16773494,-0.44830377,0.89660641,5.16694647,1.61305353,-5.34809112
0.16083742,-0.44802692,0.90267564,5.21007631,1.44916059,-5.92603075
0.15780224,-0.44002652,0.89798614,6.69374032,0.5779385,-5.96053417
0.16607949,-0.4317504,0.90405537,8.66045786,0.82809112,-5.28770957
0.17380417,-0.42154311,0.88060561,9.10900797,2.53603075,-4.79603075
0.16414832,-0.41519816,0.88777885,9.55755695,3.77816743,-4.33022893
0.16580377,-0.40857636,0.87784615,9.34190888,4.01969476,-4.12320615
0.15421675,-0.40857636,0.87922588,10.24763439,2.42389294,-3.87305353
0.17601106,-0.41381843,0.88860601,10.45465604,1.27664123,-4.87366401
0.16801066,-0.42623261,0.89495096,11.42938952,-0.80221412,-6.35732802
0.16111314,-0.43671675,0.90929744,13.33572551,-2.00984738,-7.88412187
0.15173301,-0.43671675,0.93467724,17.4071754,-4.10595444,-8.07389294
0.15835481,-0.44857949,0.93909215,21.46137471,-5.33946583,-8.17740433
0.16801066,-0.43809535,0.94295449,21.58213781,-2.74305353,-7.2371754
0.17849367,-0.43340585,0.92695256,23.46259567,0.07763326,-5.72763326
0.19504591,-0.42623261,0.948748,29.69915946,1.56992369,-5.62412187
0.19973654,-0.43313013,0.96805857,33.42557289,3.01045786,-7.71160364
0.2071855,-0.40223141,0.91508982,34.17602962,3.67465604,-9.78183144
0.18897668,-0.40250713,0.93495409,32.12305353,1.84595444,-9.74732915
0.19283902,-0.39892051,0.92640112,34.08976994,1.10412187,-11.31725171
0.18263173,-0.39229984,0.94709255,36.06511503,-2.35488497,-12.11946583
0.17601106,-0.41023181,0.93853958,37.94557402,-2.18236674,-13.33572551
0.15918197,-0.38705777,0.91591811,39.24809338,-3.02770957,-12.80954101
0.16111314,-0.3691258,0.92419423,41.68923803,-1.02648861,-10.98083941
0.14014599,-0.37105697,0.89164006,44.50992369,2.49290091,-9.35053417
0.181252,-0.34015825,0.93688526,41.61160477,8.06526652,-6.69374032
0.18676979,-0.34015825,0.90626226,40.2918337,12.93893053,-4.46824374
0.20911667,-0.33795136,0.89577925,41.99114465,16.75160364,-4.38198519
0.20525433,-0.33271042,0.91040032,44.24251936,13.90503872,-7.54770957
0.19614992,-0.35588333,0.93136747,44.64794076,8.42755695,-12.94755695
0.18814952,-0.34678005,0.94433309,45.39839523,4.22671754,-17.51931321
0.17132043,-0.34650433,0.96778285,50.76374032,-2.21687016,-19.37389407
0.15807909,-0.3578145,1.00502652,56.9054214,-2.15648861,-20.09847267
0.1379391,-0.35505617,0.98930144,60.48519134,0.49167995,-18.32152733
0.13518077,-0.33464159,0.99095689,59.89,6.42633599,-14.52610593
0.11586907,-0.31974367,0.97688726,59.96763439,9.93709909,-9.34190888
0.13131843,-0.31836394,0.97964559,60.70946357,11.5415262,-5.9864123
0.1459395,-0.30153598,0.96061074,60.77847267,13.81877904,-4.38198519
0.15007756,-0.33353758,1.02516651,63.26274942,11.26549545,-4.99442711
0.18732123,-0.29353558,0.96226506,67.57572325,17.09664123,-5.38259567
0.19614992,-0.28663806,1.01688926,72.10435306,18.95122096,-7.04740433
0.18235601,-0.30070769,1.03564952,74.08832344,20.80580182,-9.53167995
0.17601106,-0.2858109,1.00778598,76.05503872,23.16068679,-12.70603075
0.15835481,-0.26925753,1.03233862,81.08396586,20.79717653,-14.88839636
0.13931883,-0.26732636,1.02130417,84.08580408,17.20015375,-15.25931321
0.10648894,-0.29905224,1.06571995,86.73396586,8.7984738,-16.07015375
0.09490192,-0.23642877,0.97026659,85.70748064,5.21007631,-14.63824487
0.09490192,-0.20828838,0.98185248,83.38709796,3.39862642,-10.92045899
0.11035128,-0.18594263,0.96502452,79.95396586,3.64877904,-7.19404556
0.12248974,-0.16138886,0.94847115,75.82213668,6.70236674,-4.09732802
0.15945769,-0.14538806,0.94516138,74.23496128,12.12809112,-1.64755695
0.18401146,-0.13628365,0.93853958,74.01931095,18.40778701,-0.2156492
0.18704551,-0.11669623,0.93026346,72.66503872,21.21984625,-0.08625968
