acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.14943141,-0.34835707,0.7315255,-1.41427455,4.48717538,0.31839668
0.13427516,-0.34385724,0.74502402,-3.08770982,3.31725159,0.93297704
0.13285411,-0.34646266,0.75733914,-4.32427455,1.74748119,1.61419834
0.14493158,-0.35830345,0.75923355,-5.10916072,0.15549585,1.21435076
0.14706267,-0.35640904,0.77344211,-5.04992379,-0.7626722,0.7848852
0.15298355,-0.36540773,0.77983635,-5.3461065,-0.92557206,0.57015242
0.15677237,-0.36517105,0.77959967,-4.73152614,-1.12549585,0.75526722
0.15937779,-0.36540773,0.78670395,-4.62045823,-0.90335906,0.25175574
0.16221892,-0.37109096,0.7852829,-4.18358769,-0.1851148,-1.03664094
0.15606233,-0.38080066,0.79949243,-3.60603029,-0.17030581,-2.00664094
0.15985115,-0.37772188,0.79807138,-2.35465657,-1.81412213,-3.23580166
0.15393027,-0.37914293,0.78362517,-2.31763361,-2.74709917,-4.31687054
0.16008783,-0.37227533,0.77983635,-3.06549585,-3.56160332,-4.72412213
0.15653569,-0.37251201,0.77367879,-2.92480899,-3.56900733,-4.84259502
0.14824704,-0.37085428,0.77533652,-3.12473278,-2.95442794,-3.83557206
0.14114276,-0.36682878,0.7646801,-3.31725159,-1.87335906,-2.99144993
0.14256381,-0.37701184,0.76420674,-2.95442794,-0.13328285,-2.45832047
0.13474852,-0.37630083,0.76775888,-2.18435076,0.88855007,-1.5475574
0.1406694,-0.37085428,0.77486316,-1.74007621,1.76969419,-1.13290083
0.14422154,-0.37488075,0.77060098,-1.49572545,1.91778603,-1.06625989
0.13569621,-0.36919655,0.76444342,-1.18473278,1.3624426,-0.64419834
0.14232713,-0.3597245,0.761838,-1.22175574,2.03625989,-0.2887787
0.14090608,-0.36114458,0.74715608,-2.51015242,3.4061065,-0.2887787
0.13995839,-0.36067122,0.7606546,-2.29541964,3.76893112,-0.19251881
0.13687961,-0.35901349,0.76586447,-2.45091646,3.16916072,0.23694675
0.13759062,-0.36967088,0.75876019,-3.45053444,1.78450415,-0.01480899
0.13001201,-0.37724852,0.77533652,-2.75450415,0.87374011,-0.16290083
0.12835428,-0.37890625,0.77770526,-2.30282462,0.06664094,-0.19992379
0.13711629,-0.37961629,0.77604753,-1.10328285,-0.71083928,-0.65900733
0.14540494,-0.38553717,0.77652089,-0.54793845,-1.92519101,-0.92557206
0.14516826,-0.38174835,0.79428256,0.4961065,-2.95442794,-1.86595408
0.14374721,-0.3871949,0.79001941,1.32541964,-3.46534343,-2.75450415
0.14208948,-0.38861595,0.77983635,1.25137372,-2.47312946,-3.36908354
0.1446949,-0.38174835,0.77296875,2.05847289,-0.21473278,-3.50977137
0.14658931,-0.3774852,0.76704787,3.13954177,1.00702296,-4.16137372
0.14398486,-0.38482713,0.76965329,4.43534343,1.38465657,-4.59083928
0.13806398,-0.38458948,0.77486316,4.47236639,1.24396971,-5.08694675
0.13545856,-0.37772188,0.77083766,5.74595408,0.4961065,-5.11656473
0.14256381,-0.3706176,0.77604753,7.43419834,0.71083928,-4.53900733
0.14919473,-0.36185559,0.75591809,7.81923693,2.17694675,-4.11694675
0.14090608,-0.35640904,0.76207565,8.20427455,3.24320567,-3.71709917
0.14232713,-0.35072484,0.75354935,8.01916072,3.45053444,-3.53938935
0.13238075,-0.35072484,0.75473372,8.79664191,2.08068686,-3.32465657
0.15108914,-0.35522467,0.76278569,8.97435076,1.09587787,-4.18358769
0.14422154,-0.36588109,0.76823224,9.81106888,-0.68862628,-5.45717538
0.13830066,-0.37488075,0.78054736,11.44748119,-1.72526722,-6.76778603
0.13024869,-0.37488075,0.80233356,14.9424426,-3.52458036,-6.93068686
0.13593289,-0.38506381,0.80612335,18.42259599,-4.58343527,-7.01954177
0.14422154,-0.37606415,0.80943881,18.52625989,-2.35465657,-6.2124426
0.15322023,-0.37203865,0.79570264,20.14045823,0.06664094,-4.91664094
0.16742879,-0.36588109,0.814412,25.49396874,1.34763361,-4.82778603
0.17145526,-0.37180197,0.83098833,28.69274841,2.58419834,-6.61969516
0.1778495,-0.34527829,0.78551958,29.33694578,3.15435076,-8.39679336
0.16221892,-0.34551497,0.80257121,27.57465657,1.58458036,-8.36717635
0.16553438,-0.34243619,0.79522928,29.26289986,0.94778603,-9.71480899
0.15677237,-0.33675296,0.81299095,30.95855007,-2.02144993,-10.40343527
0.15108914,-0.35214589,0.80564902,32.57274938,-1.87335906,-11.44748119
0.13664293,-0.33225313,0.78623059,33.69084122,-2.59900733,-10.99580069
0.13830066,-0.3168602,0.79333487,35.78633707,-0.88114509,-9.42603029
0.12030231,-0.31851793,0.76539014,38.20763361,2.13992379,-8.02656473
