acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.106201,-0.246338,0.844727,-2.435115,3.160305,-1.938931
0.135254,-0.246582,0.832764,-4.458015,5.587786,-1.40458
0.120361,-0.24707,0.842041,-4.091603,3.885496,-0.251908
0.133789,-0.253662,0.838867,-3.900763,4.435114,0.076336
0.128174,-0.26123,0.854004,-3.206107,2.114504,-0.969466
0.127197,-0.268799,0.848145,-1.541985,1.145038,-2.519084
0.12915,-0.276611,0.867188,0.763359,0.541985,-4.08397
0.124512,-0.263428,0.880371,2.931298,-1.442748,-4.931298
0.126953,-0.262695,0.863281,3.068702,-1.687023,-4.984733
0.126709,-0.251465,0.834961,2.183206,-0.923664,-4.236641
0.133545,-0.246338,0.829102,1.175573,1.267176,-3.038168
0.12915,-0.232666,0.821777,-0.70229,2.358779,-1.885496
0.138428,-0.2229,0.798584,-3.175573,3.175573,-1.076336
0.140381,-0.221191,0.782471,-5.748092,3.908397,-0.458015
0.129639,-0.216797,0.789062,-7.778626,3.641221,0.396947
0.130859,-0.226807,0.799316,-9.19084,3.19084,0.725191
0.120605,-0.227295,0.810547,-9.641221,1.59542,0.503817
0.128418,-0.247314,0.836426,-8.564885,1.381679,-0.51145
0.143311,-0.265869,0.831055,-6.633588,3.175573,-2.145038
0.132324,-0.273438,0.853516,-5,3.717557,-3.717557
0.126221,-0.281006,0.859375,1.236641,-13.832061,-1.305344
0.197998,-0.259033,0.828857,-1.900763,0.969466,-5.70229
0.124756,-0.277832,0.845703,0.114504,2.137405,-5.816794
0.116943,-0.258301,0.870605,-0.137405,4.70229,-5.206107
0.105469,-0.255615,0.852051,-0.70229,2.633588,-2.870229
0.111328,-0.247314,0.843506,-2.961832,3.480916,-1.160305
0.11792,-0.243408,0.835693,-4.198473,4.961832,0.129771
0.129395,-0.242676,0.818115,-4.656488,5.458015,0.80916
0.120605,-0.237061,0.841064,-5.908397,3.076336,0.78626
0.130371,-0.249023,0.830566,-6.236641,0.778626,-0.10687
0.148438,-0.251953,0.839355,-5.801527,-0.557252,-1.526718
0.147461,-0.254395,0.851562,-4.564886,-1.045802,-2.977099
0.140625,-0.262207,0.870117,-2.51145,-1.916031,-4.656488
0.138672,-0.269775,0.871582,-0.916031,-3.221374,-6.114504
0.134277,-0.276611,0.876465,2.389313,-3.854962,-7.526718
0.12793,-0.287598,0.906982,7.961832,-5.526718,-8.961832
0.134033,-0.300781,0.948486,14.030535,-7.396946,-10.045801
0.139648,-0.318604,0.940674,18.969465,8.801527,-14.251908
0.097656,-0.330322,0.986328,24.732824,3.923664,-13.938931
0.121826,-0.307617,0.97583,28.099237,2.480916,-15.244275
0.126709,-0.321289,0.937012,32.732826,2.198473,-17.671755
0.093262,-0.28125,0.945068,37.625954,-5.198473,-13.396947
0.135742,-0.2854,0.928711,44.610687,-6.603054,-11.801527
0.156006,-0.278076,0.935547,48.847328,-7.091603,-14.725191
0.14917,-0.251221,0.925781,50.847328,-10.206107,-15.580153
0.164062,-0.23291,0.875488,53.519085,-7.709924,-16.022902
