acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.677246,0.058105,0.757324,-12.091603,-4.603054,3.610687
0.746094,0.146973,0.870850,-15.961832,-0.335878,5.717557
0.735352,0.119629,0.791016,-12.122137,0.198473,3.160305
0.742432,0.138428,0.802490,-11.183207,-1.274809,0.702290
0.716309,0.154541,0.750244,-12.404580,-0.824427,-1.480916
0.706055,0.157715,0.750000,-10.564885,-5.427481,-1.687023
0.721680,0.166016,0.749023,-10.099236,-6.793893,-2.656489
0.736572,0.175049,0.749268,-15.549619,-3.236641,-2.114504
0.752441,0.158447,0.771973,-14.045801,-1.885496,-2.404580
0.732910,0.157715,0.782715,-10.862596,-4.190840,-1.564885
0.721436,0.180176,0.784180,-15.343512,-3.679389,1.312977
0.713867,0.178955,0.776611,-29.351145,0.541985,4.488550
0.705566,0.169434,0.752686,-31.564886,-0.755725,6.328244
0.716797,0.177734,0.721191,-38.015266,0.343511,8.549619
0.731689,0.191895,0.658936,-49.564884,5.465649,12.305344
0.731201,0.175049,0.772705,-57.977100,5.465649,14.244275
0.759766,0.145508,0.718994,-70.251907,6.259542,17.755726
0.689209,0.174805,0.603027,-88.167938,17.419847,21.114504
0.771240,0.144043,0.669189,-98.061066,16.091602,27.007633
0.727539,0.139648,0.709961,-110.099236,11.870229,31.404581
0.712158,0.109619,0.740967,-119.335876,14.022901,29.824427
0.757568,0.066895,0.726562,-120.679390,15.839695,32.748093
0.762939,0.102051,0.824463,-118.725189,18.549618,33.702290
0.723877,0.071777,0.727539,-116.671753,16.259542,30.351145
0.792236,0.007812,0.890625,-115.931297,10.488549,31.320610
0.692871,-0.032715,0.872559,-113.045799,5.641222,29.931297
0.700928,-0.032227,0.769043,-113.198471,3.778626,28.648855
0.719482,-0.082764,0.791748,-110.603050,2.175573,25.694656
0.742188,-0.114990,0.761963,-109.175575,4.267176,20.793894
0.757812,-0.118896,0.764404,-106.396950,8.587787,17.412214
0.745605,-0.122314,0.792725,-100.305344,11.633588,15.297709
0.714600,-0.135742,0.774902,-94.992363,9.656488,12.068703
0.672852,-0.107422,0.746826,-93.725189,7.114504,10.183207
0.651123,-0.114502,0.700684,-90.633591,2.671756,10.793893
0.651123,-0.116455,0.691162,-84.015266,-2.900763,11.526717
0.686035,-0.117920,0.669434,-82.106873,-3.404580,12.954199
0.704102,-0.083008,0.667236,-105.366409,16.801527,18.435114
0.636719,-0.176270,0.732666,-76.320610,4.145038,18.396946
0.661377,-0.159912,0.629395,-71.511452,2.007634,19.335878
0.659668,-0.112061,0.625977,-72.404579,2.809160,23.648855
0.660400,-0.133057,0.610596,-68.503815,0.358779,24.564886
0.687256,-0.135010,0.585693,-66.519081,-0.709924,23.175573
0.714844,-0.114746,0.568848,-67.908394,3.625954,22.961832
0.713135,-0.103271,0.543701,-68.847328,5.961832,23.984734
0.695557,-0.084473,0.460693,-72.793892,8.717557,21.961832
0.735352,-0.078857,0.405273,-81.992363,17.274809,23.366413
0.710449,-0.094482,0.370850,-88.702293,24.717558,27.358778
0.687500,-0.137939,0.416504,-89.190842,29.282442,31.358778
0.647461,-0.177734,0.547852,-91.236641,29.450382,33.755726
0.611572,-0.209229,0.591553,-90.625954,28.656488,36.106869
0.581055,-0.251953,0.612305,-89.564888,25.755726,39.091602
0.550781,-0.300537,0.595459,-83.000000,19.625954,39.244274
0.577393,-0.308594,0.583984,-78.984734,17.465649,38.083969
0.604736,-0.326660,0.548584,-73.480919,16.633587,34.778625
0.631592,-0.329590,0.531006,-67.816795,16.442749,30.648855
0.646973,-0.330811,0.537109,-61.625954,15.427481,26.534351
0.645996,-0.345947,0.530518,-54.778625,12.244275,21.259542
0.629883,-0.350586,0.482910,-45.534351,5.374046,13.496183
0.622803,-0.313721,0.468262,-39.435116,-0.267176,6.244275
0.634277,-0.304199,0.440674,-37.091602,-5.656488,-0.061069
0.655762,-0.289062,0.422119,-38.977100,-6.763359,-3.717557
0.686768,-0.262207,0.391846,-47.977100,-0.786260,-6.076336
0.711670,0.055908,0.208984,-69.274811,5.603054,-9.351145
0.696533,-0.208740,0.340576,-78.541985,17.374046,-9.641221
0.606445,-0.243652,0.369385,-76.725189,14.938931,-7.343512
0.589600,-0.217773,0.289795,-87.099236,16.213741,-3.969466
0.573975,-0.223389,0.343262,-97.641220,16.732824,1.572519
0.523193,-0.262451,0.312988,-100.427483,11.175572,5.656488
0.539551,-0.291748,0.316162,-109.152672,12.900764,11.274809
0.534912,-0.299316,0.273193,-111.419846,11.427481,13.969465
0.593750,-0.254395,0.333008,-122.511452,11.732824,16.358778
0.587891,-0.349854,0.155762,-123.877861,11.717557,13.091603
0.676758,-0.366699,0.168945,-131.297714,19.664122,8.099236
0.706299,-0.387451,0.064453,-136.916031,33.732826,-2.572519
0.705322,-0.382812,0.125244,-147.221375,35.244274,-16.206106
0.727051,-0.325928,0.097900,-166.328247,49.435116,-18.519083
0.657227,-0.379150,0.180908,-166.366409,51.854961,-19.282442
0.564453,-0.431152,0.265625,-161.213745,46.824429,-18.763359
0.506836,-0.468506,0.311523,-153.900757,48.381680,3.244275
0.484863,-0.500977,0.375732,-162.488556,33.946564,-6.618320
0.392578,-0.538818,0.464111,-157.740463,16.770992,3.114504
0.399414,-0.610107,0.489502,-146.129776,4.145038,8.114504
0.441895,-0.604248,0.464355,-134.603058,-1.526718,14.374045
0.499268,-0.578369,0.395996,-121.809158,-6.198473,17.610687
0.554199,-0.584717,0.313965,-107.625954,-6.763359,16.389313
0.609375,-0.559814,0.253662,-93.969467,-6.931298,14.687023
0.641602,-0.539551,0.212646,-80.259544,-5.396946,9.725191
0.654541,-0.530518,0.185303,-69.114502,-3.053435,2.748092
0.685303,-0.501709,0.141846,-63.725189,1.633588,-4.251908
0.692139,-0.476074,0.132324,-59.419846,4.824428,-10.809160
0.661621,-0.467529,0.161377,-53.305344,5.572519,-15.778625
0.635986,-0.481689,0.190430,-49.381680,8.488549,-18.923664
0.611572,-0.457275,0.225098,-48.496181,11.343512,-17.587786
0.572021,-0.468750,0.230469,-46.832062,9.709924,-12.763359
0.531982,-0.472656,0.213135,-44.145039,5.412214,-8.816793
0.542725,-0.458008,0.177490,-41.938931,1.992366,-5.480916
0.551514,-0.467041,0.150879,-39.328243,0.740458,-1.824427
0.577148,-0.468262,0.121338,-37.969467,2.648855,0.709924
0.574219,-0.448730,0.072998,-37.870228,2.320611,2.671756
0.584473,-0.441650,0.021484,-38.305344,1.290076,2.129771
0.584229,-0.447266,0.020020,-38.977100,1.847328,-0.732824
0.574219,-0.460693,0.032715,-39.160305,3.015267,-2.167939
0.570312,-0.460449,0.047119,-39.839695,4.770992,-2.381679
0.546387,-0.474854,0.065674,-40.648853,4.343512,-1.328244
0.542725,-0.484619,0.057861,-41.641220,3.992366,-1.900763
0.527832,-0.469238,0.040039,-43.564884,3.236641,-0.488550
0.528564,-0.463379,0.004150,-46.419846,2.778626,0.106870
0.530762,-0.455078,-0.045410,-51.549618,2.442748,-0.442748
0.675781,-0.442871,-0.370850,-74.129768,6.786260,2.992366
0.546387,-0.379883,-0.187500,-85.000000,19.587786,3.534351
0.528564,-0.484863,-0.248779,-100.366409,19.709923,4.847328
0.533203,-0.485107,-0.114746,-99.839691,18.038168,6.641222
0.484863,-0.512695,0.064209,-101.396950,17.450382,12.053435
0.430420,-0.475098,-0.121826,-105.717560,10.549619,16.076336
0.470459,-0.508301,0.020996,-104.389313,2.305344,19.473282
0.454590,-0.538818,-0.110352,-103.572517,-3.206107,20.564886
0.550537,-0.521729,-0.089600,-104.954201,-3.198473,19.984734
0.586914,-0.515869,-0.128174,-108.908394,-0.709924,18.259542
0.607422,-0.494385,-0.203125,-111.862595,2.099237,13.389313
0.631104,-0.541504,-0.117920,-104.175575,5.885496,7.977099
0.597900,-0.551758,-0.076904,-98.740456,3.870229,2.984733
0.566406,-0.581543,-0.042969,-94.068703,1.557252,0.152672
