acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.625244,-0.097900,0.675537,-1.076336,-0.740458,-0.129771
0.609619,-0.099365,0.681641,0.091603,-2.061069,1.923664
0.601318,-0.101562,0.684082,1.053435,-3.885496,3.671756
0.610352,-0.114746,0.690186,2.862595,-5.526718,5.969466
0.624023,-0.104736,0.687256,4.320611,-5.328244,8.458015
0.636719,-0.106445,0.690674,4.984733,-3.351145,10.106871
0.645752,-0.099609,0.676758,5.427481,-2.961832,11.122137
0.664795,-0.055420,0.642822,4.816794,0.954198,12.351145
0.661133,-0.106201,0.680420,3.244275,4.251908,13.083969
0.641602,-0.110840,0.644043,3.832061,2.206107,13.053435
0.644531,-0.093018,0.657715,2.099237,2.083969,13.213740
0.641602,-0.093750,0.656006,1.435115,-0.290076,13.190840
0.643555,-0.091064,0.664307,1.595420,-1.755725,12.923664
0.648438,-0.096924,0.674316,2.541985,-3.312977,12.160305
0.649414,-0.097168,0.675781,3.221374,-3.389313,12.099236
0.645752,-0.090576,0.687012,3.167939,-2.274809,13.122137
0.640381,-0.087646,0.682617,3.206107,-1.198473,14.465649
0.644287,-0.089355,0.689209,3.030534,-0.877863,15.305344
0.642578,-0.090088,0.678711,3.160305,-1.190840,15.465649
0.648438,-0.094727,0.674316,3.900763,-0.694656,15.755725
0.650146,-0.091309,0.680664,4.977099,-1.511450,15.328244
0.656006,-0.088379,0.682373,5.687023,-2.343511,14.442748
0.652832,-0.092041,0.677246,5.862596,-2.587786,13.916031
0.643311,-0.089111,0.683838,5.793893,-4.580153,13.221375
0.642090,-0.089355,0.670410,6.351145,-5.076336,12.908397
0.637939,-0.087402,0.685059,5.603054,-5.236641,13.335877
0.626465,-0.086670,0.680664,5.167939,-5.885496,14.335877
0.627441,-0.082764,0.682861,4.862596,-5.778626,15.877863
0.615967,-0.081299,0.678223,4.198473,-6.061069,17.145039
0.611816,-0.072754,0.675781,2.458015,-5.656488,18.557251
0.609863,-0.081543,0.668213,2.366412,-5.129771,21.450382
0.610596,-0.085693,0.684082,2.969466,-3.198473,24.053434
0.610596,-0.080811,0.678711,3.496183,-1.496183,26.442749
0.600830,-0.082764,0.675293,4.122138,-4.167939,27.343512
0.607422,-0.083740,0.674561,5.740458,-7.488550,26.671755
0.604736,-0.090332,0.669434,7.496183,-11.480916,26.267176
0.601807,-0.080566,0.677734,7.656488,-14.572519,26.198473
0.585938,-0.069824,0.669434,6.061069,-20.206106,24.656488
0.596924,-0.074707,0.655273,5.816794,-17.717558,28.061069
0.596924,-0.067627,0.659424,5.229008,-15.503817,31.305344
0.590576,-0.066650,0.656982,3.358779,-16.419847,32.702290
0.586914,-0.068359,0.660156,2.786260,-13.954199,36.244274
0.610352,-0.065430,0.646729,1.473282,-8.312977,39.351147
0.608643,-0.069824,0.657959,1.175573,-10.923664,39.053436
0.625000,-0.072754,0.667725,0.748092,-13.938931,37.564884
0.633789,-0.076904,0.662598,0.572519,-15.519084,35.259541
0.635742,-0.085205,0.685791,0.824427,-17.603054,31.648855
0.649658,-0.081543,0.678711,2.389313,-15.862596,31.480917
0.640137,-0.074951,0.687988,2.709924,-16.435114,29.664122
0.648193,-0.069580,0.684570,1.938931,-15.175572,28.641222
0.646484,-0.072998,0.678955,0.977099,-12.862596,28.351145
0.636719,-0.064453,0.673584,-1.435115,-9.748092,29.083969
0.628418,-0.068848,0.663574,-3.312977,-8.694656,29.267176
0.623779,-0.061035,0.656494,-4.748092,-8.442748,29.167938
0.618896,-0.059814,0.650146,-6.755725,-8.190840,29.465649
0.613037,-0.064209,0.645020,-6.564886,-10.152672,28.648855
0.631592,-0.063232,0.668213,-5.061069,-11.687023,26.572519
0.650635,-0.073730,0.683838,-3.854962,-12.702291,22.709923
0.668457,-0.073730,0.692383,-3.526718,-12.961832,18.961832
0.664307,-0.074951,0.691162,-1.458015,-12.748092,15.992367
0.670410,-0.078613,0.698486,0.610687,-10.595420,13.832061
0.664307,-0.076172,0.710938,0.671756,-8.000000,12.465649
0.656494,-0.073730,0.701416,0.114504,-5.267176,11.496183
0.636475,-0.062256,0.692627,-0.656489,-3.656489,11.053435
0.612305,-0.072998,0.686768,-1.694656,-4.137404,11.847328
0.582764,-0.070312,0.696533,-2.114504,-5.694656,14.053435
0.571777,-0.075684,0.702881,-2.793893,-6.206107,17.007633
0.576904,-0.081055,0.702393,-3.190840,-6.007634,19.190840
0.570312,-0.080811,0.715088,-2.282443,-8.152672,21.083969
0.578369,-0.088867,0.721191,-0.793893,-10.007633,22.312977
0.575195,-0.082520,0.705078,-1.145038,-10.977099,23.740458
0.569824,-0.081543,0.705566,-1.450382,-14.572519,24.381680
0.560547,-0.078613,0.685547,-1.221374,-16.709923,25.465649
0.562988,-0.079834,0.692139,-3.267176,-19.076336,22.954199
0.578369,-0.075195,0.675293,-2.679389,-17.496183,27.519083
0.595703,-0.075928,0.679443,-3.396947,-14.778625,29.076336
0.607422,-0.081055,0.693848,-3.221374,-12.320611,29.343512
0.611816,-0.072510,0.686035,-3.801527,-10.702291,28.931297
0.604736,-0.074219,0.675537,-5.022901,-9.381680,29.610687
0.597412,-0.066650,0.660645,-7.190840,-9.687023,30.137405
0.580322,-0.061523,0.657471,-9.259542,-9.908397,30.473282
0.581787,-0.068604,0.648682,-12.763359,-10.244275,31.404581
0.589600,-0.063965,0.665771,-13.083969,-11.152672,31.076336
0.598389,-0.087891,0.677734,-9.427481,-11.610687,29.068703
0.609863,-0.084717,0.694824,-5.297710,-10.862596,27.213741
0.612061,-0.076904,0.693115,-4.312977,-11.938931,25.206106
0.613525,-0.073486,0.675781,-3.244275,-12.458015,24.801527
0.624756,-0.076416,0.701904,-3.229008,-12.030535,24.061069
0.620850,-0.073242,0.685303,-3.229008,-9.442748,23.374046
0.613037,-0.075928,0.702393,-2.030534,-8.335877,23.290077
0.611572,-0.071045,0.676514,-1.335878,-4.343512,23.374046
0.599121,-0.072754,0.684570,-1.625954,-1.740458,23.572519
0.580322,-0.069824,0.679688,-2.793893,-0.923664,24.648855
0.561523,-0.071045,0.666992,-3.351145,-2.045802,26.091602
0.549072,-0.077881,0.664551,-3.809160,-3.229008,27.099237
0.526123,-0.068115,0.672852,-4.213740,-7.251908,28.946566
0.526123,-0.076416,0.665039,-3.541985,-9.541985,31.351145
0.529053,-0.070312,0.657715,-3.412214,-8.984733,34.938931
0.536865,-0.071289,0.670166,-5.381680,-6.290076,38.305344
0.539062,-0.077393,0.667725,-4.503817,-3.816794,40.732826
0.543701,-0.089600,0.667236,-0.557252,-3.404580,41.641220
0.539795,-0.083984,0.678223,0.137405,-2.076336,42.847328
0.526367,-0.079590,0.674561,-0.061069,-2.328244,44.190838
0.506348,-0.082275,0.657959,-0.656489,-2.442748,46.465649
0.471680,-0.081787,0.662109,-2.763359,-3.198473,52.419846
0.459229,-0.060791,0.643799,-6.473282,-4.450382,57.984734
0.465576,-0.075928,0.645020,-8.061069,-5.175572,61.290077
0.470215,-0.081787,0.648193,-7.465649,-5.122138,64.160309
0.479248,-0.082520,0.667725,-8.419847,-3.992366,66.687019
0.471436,-0.083008,0.677002,-9.145039,-5.076336,68.526718
0.475342,-0.092041,0.672363,-8.503817,-8.465649,69.503815
0.476074,-0.072998,0.666260,-10.450381,-7.389313,71.877861
0.473633,-0.077148,0.680420,-14.282443,-5.580153,75.091606
0.480469,-0.077881,0.656982,-14.702291,-3.305344,77.717560
0.484863,-0.093750,0.685059,-13.221375,-5.030534,77.854965
0.468750,-0.103027,0.672852,-12.221375,-3.908397,79.694656
0.464111,-0.091797,0.696289,-13.740458,-6.992366,80.893127
0.469727,-0.091064,0.679199,-14.793893,-9.732824,80.770996
0.469238,-0.086670,0.659668,-16.297710,-12.099236,79.694656
0.464844,-0.099609,0.661133,-18.854961,-19.458015,76.480919
0.477051,-0.083984,0.655518,-20.358778,-29.236641,71.244278
0.452637,-0.080322,0.643799,-23.633587,-34.511452,70.030533
0.435547,-0.072510,0.636719,-30.312977,-38.236641,71.480919
0.417480,-0.092529,0.638916,-31.312977,-41.152672,74.679390
0.430176,-0.103516,0.648193,-27.450382,-43.549618,73.862595
0.475830,-0.089355,0.655273,-25.946566,-40.839695,72.870232
0.489014,-0.052490,0.648682,-24.900763,-39.244274,71.083969
0.503174,-0.081055,0.654541,-26.068703,-38.450382,67.503815
0.535400,-0.086426,0.652588,-27.862595,-33.977100,63.534351
0.504395,-0.122803,0.687744,-24.129770,-34.931297,61.603054
0.521240,-0.105957,0.691895,-21.442749,-35.854961,57.877861
0.503418,-0.115234,0.689453,-19.725191,-32.931297,56.145039
0.446533,-0.101562,0.672852,-19.709923,-36.893131,56.251907
0.454834,-0.095459,0.664062,-23.396946,-36.992367,58.633587
0.482178,-0.083740,0.651855,-25.114504,-36.221375,56.702290
0.527588,-0.090576,0.628174,-25.404581,-34.206108,51.305344
0.517822,-0.082275,0.618408,-27.625954,-29.809160,49.877861
0.476807,-0.080322,0.635986,-30.480917,-29.427481,50.816795
0.484131,-0.091553,0.645752,-30.969465,-28.534351,50.511452
0.503662,-0.119629,0.686035,-22.152672,-28.145039,46.656490
0.541260,-0.139893,0.704102,-11.603053,-26.480917,41.595421
0.522461,-0.136230,0.730225,-4.580153,-25.290077,38.366413
0.504639,-0.129883,0.707764,-2.244275,-27.656488,36.709923
0.512207,-0.114502,0.684570,-4.809160,-26.671755,35.267174
0.499512,-0.097412,0.657959,-9.099236,-25.511450,37.580154
0.496582,-0.090820,0.646973,-14.526717,-25.366413,37.076336
0.492920,-0.068115,0.621582,-16.229008,-24.786259,38.320610
0.499023,-0.097412,0.653320,-17.732824,-28.641222,35.114502
0.528564,-0.102295,0.627686,-16.381680,-24.809160,31.870230
0.533447,-0.089600,0.642090,-16.290077,-23.480917,29.152672
0.519043,-0.099121,0.650635,-17.679390,-20.213741,27.923664
0.500244,-0.133545,0.659424,-15.664123,-19.519083,27.427481
0.489258,-0.102295,0.639648,-12.839695,-20.412214,27.206106
0.492188,-0.108887,0.648682,-12.610687,-17.740458,27.106871
0.458252,-0.114746,0.658691,-10.274809,-18.030535,26.381680
0.449219,-0.109375,0.647705,-7.496183,-19.938931,24.236641
0.444580,-0.119385,0.697266,-4.305344,-19.671755,24.396946
0.419678,-0.126465,0.684326,-0.847328,-21.015266,25.290077
0.412354,-0.125000,0.673340,1.091603,-21.007633,28.038168
0.425537,-0.108154,0.674805,-1.908397,-21.404581,30.709923
0.430664,-0.149902,0.654053,-3.076336,-16.709923,32.954197
0.459717,-0.102539,0.649170,-1.740458,-23.076336,30.694656
0.506348,-0.091553,0.635254,-2.267176,-16.740458,29.167938
0.458984,-0.083740,0.612549,-1.885496,-17.595419,26.885496
0.435791,-0.069580,0.630371,-3.526718,-21.900763,26.816793
0.434326,-0.062988,0.617920,-6.541985,-22.877863,24.061069
0.447754,-0.097900,0.614746,-4.320611,-18.625954,28.694656
0.463135,-0.083008,0.619873,-2.343511,-23.534351,26.603054
0.494629,-0.099121,0.646973,-1.725191,-17.473282,26.335878
0.458984,-0.074219,0.651855,1.160305,-21.106871,22.183207
0.482910,-0.091797,0.680664,4.671756,-20.297710,20.824427
0.485840,-0.099609,0.664307,7.916030,-20.175573,19.282442
0.450439,-0.082031,0.646484,8.114504,-20.190840,20.641222
