acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.666504,0.161865,0.813232,-0.938931,-2.435115,-2.778626
0.653076,0.164795,0.810791,-1.748092,-3.129771,-0.473282
0.656250,0.153076,0.805664,-1.824427,-2.854962,0.603053
0.677979,0.153809,0.812256,-2.549618,-2.160305,0.664122
0.682373,0.164307,0.800537,-3.877863,-1.625954,0.129771
0.684814,0.157471,0.798340,-3.519084,-0.129771,0.106870
0.689697,0.152832,0.818604,-2.564885,1.595420,-0.702290
0.704834,0.160889,0.819580,-2.687023,3.152672,-2.229008
0.715576,0.152588,0.819824,-2.259542,3.770992,-4.229008
0.715820,0.152588,0.820068,-1.709924,3.022901,-6.709924
0.704102,0.155029,0.804932,-1.725191,1.458015,-8.503817
0.688721,0.169189,0.810303,-2.557252,-1.152672,-9.129771
0.666504,0.158936,0.800781,-2.618321,-2.076336,-8.473283
0.667725,0.158691,0.810059,-2.419847,-2.839695,-7.381680
0.651611,0.149170,0.810547,-1.916031,-2.175573,-5.458015
0.646729,0.146484,0.825195,-0.679389,-0.381679,-3.786260
0.660400,0.157227,0.822754,-0.213740,1.106870,-3.335878
0.651611,0.155518,0.803467,0.206107,2.000000,-2.458015
0.649902,0.156982,0.809570,0.786260,2.190840,-1.702290
0.663330,0.165039,0.800537,0.007634,2.908397,-2.854962
0.689697,0.158203,0.798340,-1.480916,4.152672,-6.198473
0.696045,0.157471,0.786133,-3.351145,3.618321,-8.129771
0.670898,0.158447,0.805908,-5.328244,3.900763,-9.274809
0.666992,0.124268,0.873535,-3.458015,3.297710,-9.854961
0.643066,0.131592,0.825684,-1.526718,2.045802,-10.175572
0.649902,0.145508,0.833984,0.305344,0.106870,-9.725191
0.649170,0.154297,0.823975,0.770992,1.297710,-7.854962
0.646973,0.162598,0.839355,1.625954,7.603054,1.152672
0.663330,0.233887,0.765381,-2.572519,43.526718,0.977099
0.689453,0.141357,0.857666,-2.717557,47.709923,-0.152672
0.638428,0.117676,0.850342,0.396947,28.900763,-7.633588
0.636963,0.135010,0.855469,1.236641,16.213741,-9.320611
0.660645,0.125244,0.839111,6.167939,13.320611,-9.114504
0.667480,0.150879,0.807861,11.343512,13.206107,-6.389313
0.662354,0.162842,0.811035,14.236641,9.984733,-7.473282
