acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.095947,-0.464355,0.850098,7.755725,-2.793893,-8.625955
0.091309,-0.458008,0.839600,11.282443,-4.396946,-9.290076
0.088623,-0.450684,0.837158,15.442748,-5.000000,-9.908397
0.096436,-0.442139,0.838379,18.702290,-6.038168,-11.137404
0.100830,-0.427246,0.802002,17.603054,-1.274809,-10.625955
0.098877,-0.411865,0.756104,16.374046,0.381679,-10.175572
0.072754,-0.385498,0.781250,9.290076,-2.290076,-7.343512
0.097900,-0.375488,0.734375,5.511450,4.122138,-3.877863
0.076172,-0.373535,0.747070,1.129771,2.358779,-1.442748
0.087158,-0.369873,0.739746,-3.587786,3.770992,1.213740
0.085449,-0.368652,0.737061,-7.488550,4.320611,2.931298
0.086914,-0.381592,0.745605,-8.923664,2.961832,2.465649
0.093994,-0.406738,0.775146,-8.038168,-0.007634,0.007634
0.103760,-0.432129,0.800537,-5.297710,-2.083969,-3.824427
0.103027,-0.450195,0.833252,0.519084,-5.122138,-7.801527
0.096680,-0.469727,0.873047,7.938931,-6.099236,-10.465649
0.093018,-0.473633,0.887207,15.694656,-5.526718,-11.366412
0.091309,-0.469482,0.860107,21.832062,-4.022901,-10.824428
0.100098,-0.441162,0.838623,22.022902,-3.160305,-9.832061
0.093750,-0.411133,0.799561,20.106871,-3.183206,-8.641221
0.096924,-0.397705,0.781982,15.969465,-1.236641,-6.870229
0.087646,-0.375732,0.758545,11.290076,-0.297710,-4.099236
0.096924,-0.361816,0.746338,5.656488,2.312977,-1.320611
0.088867,-0.369385,0.753418,1.778626,1.679389,0.992366
0.104004,-0.383545,0.786865,-0.564885,2.007634,1.992366
0.089600,-0.408936,0.815674,0.862595,-0.633588,1.427481
0.088379,-0.456299,0.882324,8.519084,-2.793893,0.625954
0.104004,-0.492188,0.961914,20.511450,-3.297710,-1.786260
0.112793,-0.506104,0.989746,37.832062,-4.198473,-5.061069
0.104004,-0.523926,1.016846,52.770992,-8.549619,-9.114504
0.109619,-0.501221,0.987305,65.526718,-12.076336,-12.557252
0.138428,-0.467529,0.933350,72.297707,-6.587786,-14.328244
0.118164,-0.412354,0.900146,72.541985,-8.587787,-15.358779
0.101318,-0.362549,0.821045,69.267174,-9.671756,-13.687023
0.108643,-0.323486,0.781982,62.916031,-3.450382,-10.244275
0.088379,-0.302734,0.750977,57.167938,0.603053,-6.664122
0.063721,-0.268799,0.724609,50.496181,1.557252,-3.076336
0.070557,-0.253174,0.727295,43.320610,2.709924,1.076336
0.116211,-0.257324,0.702881,36.458015,6.992366,2.564885
0.113281,-0.248779,0.704590,29.099237,5.564886,1.954198
0.180176,-0.240967,0.597900,25.022902,16.305344,1.465649
0.109619,-0.246094,0.712891,17.030535,11.549619,-0.519084
0.105225,-0.284912,0.866699,16.320610,9.511451,-1.809160
0.113525,-0.293701,0.781738,20.595419,7.587786,-6.137404
0.125488,-0.300049,0.844727,26.106871,4.587786,-11.366412
0.108643,-0.307129,0.863281,31.343512,0.465649,-14.961832
0.101562,-0.313965,0.844482,36.641220,11.916031,-14.572519
0.085693,-0.307861,0.840576,40.900764,7.603054,-10.099236
0.072266,-0.309814,0.876221,44.595421,8.206107,-8.580153
0.057373,-0.303711,0.901855,46.076336,4.267176,-6.732824
0.081299,-0.295166,0.862793,45.793892,10.946565,-2.816794
0.092041,-0.284424,0.857422,44.671757,12.374045,-0.709924
0.108398,-0.276611,0.850098,44.503819,9.007633,-3.091603
0.116699,-0.277100,0.864502,46.770992,3.908397,-7.923664
0.132080,-0.276611,0.881592,50.648853,1.984733,-11.648855
0.122070,-0.262695,0.910156,55.610687,-0.251908,-14.007633
0.117188,-0.261963,0.899658,60.664124,-0.068702,-16.206106
0.120361,-0.256104,0.905518,66.442749,1.816794,-17.587786
0.117676,-0.245850,0.905029,72.251907,3.893130,-18.832062
0.100830,-0.238037,0.923584,76.343513,3.251908,-19.404581
0.087646,-0.211914,0.902832,75.732826,5.053435,-17.511450
0.085693,-0.204590,0.892822,75.473282,5.251908,-14.587787
0.072021,-0.185791,0.890869,75.992363,2.267176,-12.725191
0.071045,-0.173096,0.890869,76.633591,-0.022901,-11.000000
0.077393,-0.170166,0.882324,79.496185,-1.198473,-10.450381
0.073730,-0.155518,0.890869,82.206108,-3.091603,-9.969465
0.063965,-0.150879,0.881104,85.091606,-4.152672,-9.679389
0.058105,-0.143066,0.882080,87.603050,-3.992366,-8.022901
0.050293,-0.133301,0.883301,89.091606,-5.053435,-5.709924
0.062988,-0.121094,0.884277,89.900764,-9.068703,-4.679389
0.088623,-0.115723,0.870850,89.900764,-12.335877,-4.748092
0.098145,-0.095947,0.864746,88.374046,-13.862596,-6.030534
0.122559,-0.083984,0.854492,85.267174,-10.954199,-6.351145
0.146729,-0.064941,0.837402,84.236641,-3.877863,-6.137404
0.146484,-0.052246,0.840820,82.503815,1.389313,-7.396946
0.149902,-0.035156,0.839600,78.282440,3.351145,-8.923664
0.146729,-0.030029,0.837646,75.320610,5.259542,-9.725191
0.140137,-0.020508,0.841553,74.122139,6.984733,-10.534351
0.129883,-0.021729,0.865967,74.419846,8.404580,-11.480916
0.115479,-0.021484,0.885742,76.938934,12.877863,-11.312977
0.098145,-0.010254,0.898438,79.458015,12.984733,-11.251908
0.083008,0.002686,0.897461,81.694656,9.931297,-10.854961
0.074463,0.022217,0.882324,80.618324,7.167939,-9.160305
0.076904,0.039307,0.856689,76.969467,3.854962,-7.587786
0.099121,0.057129,0.844727,72.198471,3.122137,-6.679389
0.108887,0.050293,0.838623,71.114502,1.923664,-8.076336
0.100586,0.056641,0.857910,71.450378,-1.145038,-10.045801
0.102051,0.071289,0.863281,71.221375,-1.503817,-10.557252
0.120361,0.080811,0.838623,72.893127,4.152672,-10.381680
0.124512,0.077148,0.854248,77.389313,7.580153,-11.282443
0.114258,0.087891,0.878174,79.419846,8.374045,-11.557252
0.091553,0.104248,0.882080,78.335876,8.404580,-10.900764
0.090576,0.131348,0.853027,73.687019,9.374045,-8.549619
0.078125,0.156250,0.821289,67.068703,8.145039,-6.358778
0.072510,0.165039,0.816406,61.816795,3.229008,-6.038168
0.066162,0.179443,0.802734,56.404579,-0.160305,-6.145038
0.080322,0.185303,0.788086,52.061069,-1.343511,-6.045802
0.079102,0.197998,0.798828,48.458015,-2.763359,-5.854962
0.082275,0.207520,0.775635,44.549618,-3.358779,-5.580153
0.075684,0.227539,0.747314,38.656490,-1.900763,-3.595420
0.094971,0.228027,0.733154,34.389313,3.770992,-1.900763
0.080078,0.231689,0.743164,31.450382,4.312977,-1.465649
0.100342,0.241699,0.751465,27.221375,4.854962,-1.328244
0.107422,0.242920,0.741211,22.290077,5.687023,-2.083969
0.088867,0.242676,0.744629,17.549618,1.480916,-3.061069
0.107178,0.232178,0.731934,13.572519,2.236641,-3.534351
0.090088,0.231445,0.767334,11.175572,-2.770992,-6.145038
0.093994,0.230713,0.787109,9.312977,-5.083970,-7.374046
0.070068,0.217041,0.802490,9.091603,-7.083970,-7.267176
0.083984,0.220459,0.810547,7.931298,-4.488550,-5.549618
0.072754,0.218506,0.805176,5.946565,-2.015267,-3.740458
0.074707,0.217285,0.805664,4.198473,2.534351,-1.809160
0.088867,0.201904,0.822998,5.664122,4.900764,-1.786260
0.099365,0.182373,0.862793,6.969466,4.793893,-3.503817
0.088379,0.169434,0.883789,9.748092,2.893130,-4.847328
0.074951,0.180664,0.912354,13.244275,3.717557,-4.335878
0.063477,0.170410,0.906982,18.977098,2.595420,-3.496183
0.055420,0.173340,0.925537,23.305344,1.564885,-2.557252
0.064697,0.183350,0.911865,26.961832,0.480916,-1.854962
0.072754,0.196289,0.892334,28.549618,0.778626,-0.832061
0.088867,0.211182,0.863525,31.694656,2.625954,-0.778626
0.091553,0.203857,0.887939,37.274811,-0.267176,-2.763359
0.100830,0.214111,0.885742,39.167938,-2.290076,-4.564886
0.090332,0.231689,0.866455,39.480915,-2.862595,-4.755725
0.093506,0.241211,0.853516,40.442749,-1.419847,-4.648855
0.101807,0.244141,0.859863,44.122139,-1.229008,-5.259542
0.070801,0.250244,0.872559,47.832062,-9.152672,-8.496183
0.106445,0.255615,0.854980,49.099236,-3.358779,-9.595420
0.095459,0.268799,0.854004,48.618320,-1.259542,-8.137404
0.124268,0.273193,0.833008,49.251907,7.145038,-5.870229
0.112305,0.284180,0.848633,50.702290,8.793893,-5.679389
0.086426,0.283447,0.837402,51.519085,5.618320,-6.122138
0.085205,0.300049,0.822266,50.816795,5.763359,-5.595420
0.085693,0.306396,0.810791,49.290077,5.610687,-5.366412
0.077881,0.308594,0.786133,49.129772,5.122138,-5.274809
0.077148,0.307129,0.796387,50.251907,3.954198,-5.297710
0.068604,0.308594,0.785156,51.007633,5.450382,-4.435114
0.076904,0.315674,0.799316,51.625954,10.977099,-1.801527
0.066162,0.325439,0.819336,52.877861,11.137404,0.076336
0.069336,0.340820,0.779785,52.595421,10.541985,0.824427
0.081055,0.362305,0.769531,48.312977,9.923664,1.274809
0.103027,0.363281,0.752441,44.099236,10.045801,-0.320611
0.113525,0.360352,0.750732,45.305344,7.893130,-3.687023
0.114502,0.368896,0.765381,45.213741,6.503817,-6.244275
0.104004,0.374512,0.747314,44.931297,8.000000,-8.374045
0.079346,0.396729,0.749512,42.755726,6.427481,-10.213740
0.068848,0.399658,0.747314,39.916031,6.755725,-10.114504
0.076172,0.397705,0.750488,38.938931,10.251908,-9.259542
0.074707,0.386719,0.759033,39.862595,14.687023,-7.412214
0.087158,0.390869,0.781250,41.450382,18.717558,-6.229008
0.060791,0.380615,0.780518,44.946564,18.618320,-6.870229
0.065674,0.391846,0.808594,46.312977,20.732824,-5.923664
0.044922,0.391357,0.812256,48.618320,19.641222,-5.671756
0.034424,0.391602,0.799316,49.885498,16.076336,-4.625954
0.034424,0.406494,0.800293,49.274811,14.480916,-3.068702
0.031738,0.406006,0.789062,50.641220,12.648855,-2.549618
0.026611,0.413086,0.787354,53.221375,5.946565,-3.045802
0.022705,0.418945,0.764648,55.572517,0.061069,-3.541985
0.039551,0.437500,0.742432,56.076336,-0.786260,-3.267176
0.055176,0.445312,0.722412,57.007633,0.450382,-3.641221
0.040039,0.448242,0.732422,57.885498,-2.519084,-4.458015
0.054199,0.458984,0.726074,57.381680,-0.190840,-3.351145
0.074463,0.459961,0.735107,57.305344,8.068703,-2.427481
0.054688,0.481445,0.733643,55.923664,10.244275,-1.671756
0.037842,0.490967,0.724121,52.656490,6.671756,-0.709924
0.047607,0.499756,0.707275,49.648853,5.221374,-0.030534
0.042969,0.499512,0.705811,47.458015,3.076336,0.045802
0.052490,0.503418,0.708008,46.320610,2.465649,-0.259542
0.054443,0.508057,0.707764,46.030533,0.000000,-0.305344
0.049805,0.506104,0.698975,45.923664,-0.366412,-0.625954
0.070068,0.517822,0.693115,43.572517,3.541985,-3.015267
0.060791,0.514893,0.681396,43.702290,3.068702,-1.427481
0.053955,0.530273,0.656982,43.038166,3.580153,-2.236641
0.052979,0.550293,0.641602,41.129772,2.488550,-1.923664
0.058105,0.543701,0.661377,39.641220,4.816794,-2.221374
0.055176,0.541504,0.682861,39.045803,7.068702,-2.335878
0.044922,0.545898,0.678223,37.870228,5.480916,-1.694656
0.042969,0.574219,0.659912,34.206108,3.847328,-0.312977
0.033936,0.563477,0.657471,30.587786,3.099237,1.351145
0.049561,0.580078,0.647461,26.625954,4.984733,2.839695
0.065186,0.565186,0.643311,24.954199,6.259542,1.969466
0.068359,0.562256,0.656250,24.755726,4.183206,-0.633588
0.066895,0.561523,0.663086,26.343512,1.541985,-4.099236
0.063232,0.553955,0.677734,30.114504,-0.740458,-6.312977
0.077148,0.570068,0.670410,30.343512,4.312977,-5.992366
